Rank,Player Name,Team,Position,Min,Max,STD Dev
214,Brandon McManus,DEN,K,188,243,23.17,
215,Ka'imi Fairbairn,HOU,K,192,229,14.92,
216,Mohamed Sanu,NE,WR,170,184,7.00,
217,Mason Crosby,GB,K,202,228,9.94,
218,Tampa Bay Buccaneers,TB,DST,166,272,45.38,
219,Nick Foles,CHI,QB,192,240,20.78,
220,Michael Badgley,LAC,K,196,213,7.79,
221,Giovani Bernard,CIN,RB,148,258,45.03,
222,Bryce Love,WAS,RB,144,219,37.50,
223,Jason Myers,SEA,K,176,247,26.10,
224,Cleveland Browns,CLE,DST,188,242,20.24,
225,Jamaal Williams,GB,RB,175,222,20.89,
226,New York Jets,NYJ,DST,189,220,13.42,
227,Green Bay Packers,GB,DST,194,220,10.66,
228,Gerald Everett,LAR,TE,195,227,13.60,
229,Gus Edwards,BAL,RB,185,193,4.00,
230,Dwayne Haskins,WAS,QB,160,278,42.44,
231,Chris Boswell,PIT,K,182,281,36.82,
232,Denzel Mims,NYJ,WR,182,199,8.50,
233,Miles Boykin,BAL,WR,175,236,25.59,
234,Dede Westbrook,JAC,WR,179,203,12.00,
235,Malcolm Brown,LAR,RB,171,212,20.50,
236,Benny Snell Jr.,PIT,RB,169,253,34.32,
237,Tyrell Williams,LV,WR,186,201,7.50,
238,Brian Hill,ATL,RB,141,141,0.00,
239,Devonta Freeman,FA,RB,158,232,37.00,
240,Randall Cobb,HOU,WR,196,222,12.03,
241,Royce Freeman,DEN,RB,162,230,34.00,
242,Steven Sims,WAS,WR,148,294,73.00,
243,Younghoe Koo,ATL,K,193,293,38.04,
244,C.J. Uzomah,CIN,TE,185,212,13.50,
245,Tyler Eifert,JAC,TE,167,334,68.86,
246,Auden Tate,CIN,WR,155,255,50.00,
247,Corey Davis,TEN,WR,200,204,2.00,
248,Darrel Williams,KC,RB,156,303,73.50,
249,Jordan Reed,SF,TE,157,157,0.00,
250,Kenny Stills,HOU,WR,189,221,16.00,
251,Tee Higgins,CIN,WR,198,218,10.00,
252,John Ross,CIN,WR,183,234,25.50,
253,LeSean McCoy,TB,RB,177,177,0.00,
254,Jordan Akins,HOU,TE,187,292,42.87,
255,Logan Thomas,WAS,TE,181,181,0.00,
256,Cole Beasley,BUF,WR,215,215,0.00,
257,Cincinnati Bengals,CIN,DST,183,183,0.00,
258,Randy Bullock,CIN,K,189,340,75.50,
259,Darren Fells,HOU,TE,203,298,39.38,
260,Kyle Rudolph,MIN,TE,192,254,31.00,
261,Andy Isabella,ARI,WR,217,224,3.50,
262,Joshua Kelley,LAC,RB,194,194,0.00,
263,Tua Tagovailoa,MIA,QB,206,331,45.93,
264,Detroit Lions,DET,DST,198,316,59.00,
265,Dan Arnold,ARI,TE,200,200,0.00,
266,Justin Herbert,LAC,QB,207,349,52.85,
267,Jameis Winston,NO,QB,209,353,54.21,
268,Andy Dalton,DAL,QB,208,342,56.87,
269,Peyton Barber,WAS,RB,212,239,13.50,
270,Marcus Mariota,LV,QB,213,359,63.43,
271,Russell Gage,ATL,WR,206,308,51.00,
272,David Njoku,CLE,TE,215,240,12.50,
273,Joey Slye,CAR,K,223,282,25.95,
274,Jarrett Stidham,NE,QB,211,313,42.50,
275,Jalen Hurts,PHI,QB,210,210,0.00,
276,Taysom Hill,NO,QB,212,246,17.00,
277,Rashaad Penny,SEA,RB,213,251,19.00,
278,Will Dissly,SEA,TE,217,252,17.50,
279,Jimmy Graham,CHI,TE,231,235,2.00,
280,Cameron Brate,TB,TE,221,267,23.00,
281,Darrynton Evans,TEN,RB,224,250,13.00,
282,Vance McDonald,PIT,TE,225,261,18.00,
283,Chris Conley,JAC,WR,226,226,0.00,
284,Justice Hill,BAL,RB,230,324,47.00,
285,Austin Seibert,CLE,K,233,301,34.00,
286,Kendrick Bourne,SF,WR,233,326,46.50,
287,Tre'Quan Smith,NO,WR,234,234,0.00,
288,Josh Lambo,JAC,K,234,270,18.00,
289,Mitch Trubisky,CHI,QB,239,327,40.57,
290,Houston Texans,HOU,DST,235,296,30.50,
291,Danny Amendola,DET,WR,237,237,0.00,
292,Trey Burton,IND,TE,237,285,24.00,
293,Taylor Gabriel,FA,WR,238,238,0.00,
294,Stephen Hauschka,FA,K,239,286,23.50,
295,Nelson Agholor,LV,WR,241,241,0.00,
296,Eddy Pineiro,CHI,K,242,242,0.00,
297,Justin Rohrwasser,NE,K,246,246,0.00,
298,DaeSean Hamilton,DEN,WR,256,256,0.00,
299,Zach Pascal,IND,WR,257,257,0.00,
300,J.J. Arcega-Whiteside,PHI,WR,259,259,0.00,
301,David Moore,SEA,WR,262,262,0.00,
302,Demarcus Robinson,KC,WR,263,263,0.00,
303,Marquez Valdes-Scantling,GB,WR,264,264,0.00,
304,Antonio Brown,FA,WR,265,265,0.00,
305,Rex Burkhead,NE,RB,266,266,0.00,
306,Darwin Thompson,KC,RB,268,268,0.00,
307,Dion Lewis,NYG,RB,271,271,0.00,
308,Washington Football Team,WAS,DST,273,273,0.00,
309,Jaylen Samuels,PIT,RB,274,274,0.00,
310,Stephen Gostkowski,FA,K,275,275,0.00,
311,Jacob Hollister,SEA,TE,276,276,0.00,
312,Adam Humphries,TEN,WR,279,279,0.00,
313,Josh Gordon,FA,WR,280,280,0.00,
314,Ito Smith,ATL,RB,283,283,0.00,
315,Phillip Dorsett,SEA,WR,284,284,0.00,
316,Delanie Walker,FA,TE,287,287,0.00,
317,Willie Snead,BAL,WR,288,288,0.00,
318,Jalen Richard,LV,RB,289,289,0.00,
319,Keke Coutee,HOU,WR,290,290,0.00,
320,Jakobi Meyers,NE,WR,291,291,0.00,
321,Brett Maher,NYJ,K,295,295,0.00,
322,Keelan Cole,JAC,WR,297,297,0.00,
323,Demaryius Thomas,FA,WR,299,299,0.00,
324,Jacksonville Jaguars,JAC,DST,300,300,0.00,
325,Aldrick Rosas,FA,K,302,302,0.00,
326,Josh Reynolds,LAR,WR,304,304,0.00,
327,Bo Scarbrough,DET,RB,305,305,0.00,
328,Lamar Miller,NE,RB,306,306,0.00,
329,Atlanta Falcons,ATL,DST,307,307,0.00,
330,Mike Boone,MIN,RB,309,309,0.00,
331,Greg Ward,PHI,WR,310,310,0.00,
332,Carolina Panthers,CAR,DST,311,311,0.00,
333,Jason Witten,LV,TE,312,312,0.00,
334,Patrick Laird,MIA,RB,314,314,0.00,
335,Jordan Wilkins,IND,RB,315,315,0.00,
336,Kai Forbath,FA,K,317,317,0.00,
337,Daniel Carlson,LV,K,319,319,0.00,
338,T.J. Yeldon,BUF,RB,320,320,0.00,
339,Ted Ginn,CHI,WR,321,321,0.00,
340,Mike Davis,CAR,RB,322,322,0.00,
341,Las Vegas Raiders,LV,DST,323,323,0.00,
342,Adam Vinatieri,FA,K,325,325,0.00,
343,Cole Kmet,CHI,TE,328,328,0.00,
344,Wayne Gallman,NYG,RB,329,329,0.00,
345,Myles Gaskin,MIA,RB,330,330,0.00,
346,Dustin Hopkins,WAS,K,332,332,0.00,
347,Justin Watson,TB,WR,333,333,0.00,
348,Chase McLaughlin,IND,K,335,335,0.00,
349,Dante Pettis,SF,WR,336,336,0.00,
350,Paul Richardson Jr.,SEA,WR,337,337,0.00,
351,Zay Jones,LV,WR,338,338,0.00,
352,KeeSean Johnson,ARI,WR,339,339,0.00,
353,Dare Ogunbowale,TB,RB,341,341,0.00,
354,Travis Homer,SEA,RB,343,343,0.00,
355,KJ Hamler,DEN,WR,344,344,0.00,
356,Reggie Bonnafon,CAR,RB,345,345,0.00,
357,Qadree Ollison,ATL,RB,346,346,0.00,
358,Kalen Ballage,MIA,RB,347,347,0.00,
359,Ty Johnson,DET,RB,348,348,0.00,
360,Ty Montgomery,NO,RB,350,350,0.00,
361,Jerick McKinnon,SF,RB,351,351,0.00,
362,Frank Gore,NYJ,RB,352,352,0.00,
363,Jeff Wilson,SF,RB,354,354,0.00,
364,Jacoby Brissett,IND,QB,355,355,0.00,
365,Dexter Williams,GB,RB,356,356,0.00,
366,Bilal Powell,FA,RB,357,357,0.00,
367,Dontrell Hilliard,CLE,RB,358,358,0.00,
368,Van Jefferson,LAR,WR,360,360,0.00,
